Time,HostName,AirQualityIndex,Humidity,Temperature,Pressure,VOCEstimate,GasSensorResistance,CO2Estimate
1.65E+12,RSE-12-C,229.1881,26.882706,24.028305,1000.3147,2.2310607,737774.2,1239.403
1.65E+12,RSE-12-C,231.73862,26.863483,24.028305,1000.334,2.2706878,732962.6,1251.0497
1.65E+12,RSE-12-C,233.75314,26.855621,24.03084,1000.32935,2.301986,733760.25,1260.1057
1.65E+12,RSE-12-C,233.8823,26.81293,24.038454,1000.4123,2.3018897,734559.44,1260.078
1.65E+12,RSE-12-C,234.8397,26.835262,24.038454,1000.39307,2.3157415,732166.75,1264.0469
1.65E+12,RSE-12-C,235.65797,26.792217,24.048605,1000.44165,2.327436,732962.6,1267.3793
1.65E+12,RSE-12-C,236.5862,26.79494,24.056215,1000.4317,2.3410501,731372.7,1271.2375
1.65E+12,RSE-12-C,235.81142,26.754549,24.056751,1000.4055,2.3256645,732166.75,1266.8755
1.65E+12,RSE-12-C,237.01186,26.745829,24.079052,1000.5122,2.343892,730580.3,1272.04
1.65E+12,RSE-12-C,236.63852,26.70012,24.091742,1000.52655,2.3353171,732962.6,1269.6156
1.65E+12,RSE-12-C,236.05663,26.692947,24.089203,1000.49084,2.3232527,732962.6,1266.1891
1.65E+12,RSE-12-C,237.25829,26.691801,24.091742,1000.5668,2.3414416,733760.25,1271.3481
1.65E+12,RSE-12-C,236.62773,26.670435,24.094278,1000.5834,2.3285267,732962.6,1267.6892
1.65E+12,RSE-12-C,238.2432,26.626816,24.109503,1000.58276,2.3536794,731372.7,1274.7968
1.65E+12,RSE-12-C,237.81407,26.622978,24.114574,1000.5878,2.3441079,732962.6,1272.101
1.65E+12,RSE-12-C,240.78175,26.610956,24.114574,1000.6473,2.39276,730580.3,1285.6907
1.65E+12,RSE-12-C,239.20406,26.597643,24.114574,1000.6509,2.363172,732166.75,1277.4594
1.65E+12,RSE-12-C,240.76843,26.574669,24.117117,1000.6585,2.3875997,731372.7,1284.2625
1.65E+12,RSE-12-C,242.1306,26.56374,24.117117,1000.6358,2.4088109,727427.8,1290.1134
1.65E+12,RSE-12-C,241.82362,26.537762,24.117117,1000.6532,2.400983,731372.7,1287.9602
1.65E+12,RSE-12-C,240.06673,26.533676,24.122189,1000.6898,2.3683386,732962.6,1278.904
1.65E+12,RSE-12-C,241.31903,26.522879,24.129803,1000.6713,2.3875601,732962.6,1284.2515
1.65E+12,RSE-12-C,242.01419,26.499859,24.129803,1000.673,2.3970885,730580.3,1286.8862
1.65E+12,RSE-12-C,241.95323,26.489025,24.119654,1000.6978,2.3935404,730580.3,1285.9064
1.65E+12,RSE-12-C,243.17393,26.462885,24.127264,1000.6337,2.4121184,731372.7,1291.0211
1.65E+12,RSE-12-C,242.8962,26.440323,24.134878,1000.67975,2.4045613,731372.7,1288.9453
1.65E+12,RSE-12-C,246.76561,26.434544,24.137415,1000.66125,2.4697134,728213.4,1306.6311
1.65E+12,RSE-12-C,247.82706,26.428038,24.142488,1000.68896,2.4857814,728213.4,1310.9211
1.65E+12,RSE-12-C,249.47528,26.393938,24.147564,1000.72046,2.5125072,727427.8,1317.9956
1.65E+12,RSE-12-C,249.3849,26.383968,24.155178,1000.72797,2.5133476,728213.4,1318.2168
1.65E+12,RSE-12-C,249.23515,26.387203,24.157715,1000.6956,2.5366948,725861.8,1324.3336
1.65E+12,RSE-12-C,250.23706,26.37183,24.16279,1000.7985,2.5926394,721203.8,1338.7646
1.65E+12,RSE-12-C,250,26.348272,24.16279,1000.8212,2.6159563,721976,1344.6875
1.65E+12,RSE-12-C,248.51555,26.31649,24.165325,1000.8011,2.5884342,725861.8,1337.6907
1.65E+12,RSE-12-C,248.46762,26.329813,24.155178,1000.87476,2.590232,725861.8,1338.15
1.65E+12,RSE-12-C,247.72913,26.301271,24.16279,1000.8159,2.574868,726644,1334.2145
1.65E+12,RSE-12-C,248.65227,26.266006,24.170404,1000.8586,2.6316323,722749.9,1348.6399
1.65E+12,RSE-12-C,247.19214,26.255257,24.175514,1000.8934,2.600243,725861.8,1340.7019
1.65E+12,RSE-12-C,246.95996,26.264221,24.175476,1000.97375,2.5927694,725861.8,1338.7977
1.65E+12,RSE-12-C,248.3163,26.213282,24.180552,1000.9265,2.6159348,725861.8,1344.682
1.65E+12,RSE-12-C,248.38066,26.20404,24.180552,1000.9353,2.6141403,725861.8,1344.228
1.65E+12,RSE-12-C,247.16841,26.198942,24.1907,1000.9453,2.5877848,726644,1337.5247
1.65E+12,RSE-12-C,250,26.148071,24.1907,1000.93304,2.6681287,721976,1357.7512
1.65E+12,RSE-12-C,248.3964,26.131594,24.195772,1001.01154,2.6356208,725861.8,1349.6417
1.65E+12,RSE-12-C,248.69798,26.116129,24.1907,1000.9593,2.6384673,725861.8,1350.3558
1.65E+12,RSE-12-C,245.32657,26.107204,24.200851,1000.94666,2.5701969,728213.4,1333.0133
1.65E+12,RSE-12-C,246.6925,26.066074,24.200851,1000.8942,2.5934205,727427.8,1338.9639
1.65E+12,RSE-12-C,246.22557,26.051792,24.198315,1000.96155,2.581469,728213.4,1335.9082
1.65E+12,RSE-12-C,247.67078,26.052288,24.205927,1000.957,2.6062777,726644,1342.2354
1.65E+12,RSE-12-C,250,26.02628,24.203386,1000.9194,2.6568556,724302.44,1354.9502
1.65E+12,RSE-12-C,248.99707,26.013607,24.203386,1000.909,2.6481776,726644,1352.7859
1.65E+12,RSE-12-C,249.35764,25.982895,24.205927,1000.9027,2.6918995,725861.8,1363.6188
1.65E+12,RSE-12-C,248.15918,25.976574,24.216076,1000.87616,2.6877582,725081.3,1362.6002
1.65E+12,RSE-12-C,249.71779,25.927788,24.22369,1000.8716,2.7163367,723525.3,1369.5972
1.65E+12,RSE-12-C,248.8435,25.930351,24.226227,1000.8653,2.716382,724302.44,1369.6082
1.65E+12,RSE-12-C,249.56769,25.916496,24.233837,1000.9026,2.759729,721203.8,1380.0812
1.65E+12,RSE-12-C,249.87608,25.874842,24.246523,1000.9153,2.7805676,721203.8,1385.0576
1.65E+12,RSE-12-C,248.80461,25.84698,24.24906,1000.93353,2.775198,721976,1383.779
1.65E+12,RSE-12-C,248.89673,25.829926,24.246523,1000.93634,2.773921,721976,1383.4744
1.65E+12,RSE-12-C,248.90059,25.821846,24.256674,1001.0059,2.7907536,721203.8,1387.4767
1.65E+12,RSE-12-C,250,25.846848,24.251602,1000.97986,2.8313043,720433.4,1397.0198
1.65E+12,RSE-12-C,249.33553,25.804642,24.26175,1000.9952,2.8492951,719664.5,1401.21
1.65E+12,RSE-12-C,247.53815,25.790586,24.264288,1001.0291,2.8413436,720433.4,1399.3613
1.65E+12,RSE-12-C,248.63043,25.773222,24.272282,1000.96155,2.8623428,721203.8,1404.2324
1.65E+12,RSE-12-C,248.9032,25.735638,24.271898,1000.99835,2.865099,721976,1404.8691
1.65E+12,RSE-12-C,247.83498,25.715239,24.276974,1000.9684,2.8380408,721976,1398.5919
1.65E+12,RSE-12-C,247.44452,25.680008,24.284588,1000.98126,2.826144,723525.3,1395.813
1.65E+12,RSE-12-C,245.5889,25.670818,24.28205,1000.99445,2.7824066,725081.3,1385.495
1.65E+12,RSE-12-C,244.32477,25.63855,24.28966,1001.00385,2.752027,726644,1378.2324
1.65E+12,RSE-12-C,244.80553,25.62848,24.2922,1001.03784,2.7591748,726644,1379.9485
1.65E+12,RSE-12-C,244.2622,25.60065,24.29981,1001.0822,2.744415,726644,1376.4001
1.65E+12,RSE-12-C,245.28809,25.543161,24.307465,1001.1422,2.763195,725861.8,1380.9116
1.65E+12,RSE-12-C,245.71436,25.549025,24.307425,1001.1334,2.769167,725861.8,1382.3398
1.65E+12,RSE-12-C,243.48839,25.498543,24.315035,1001.1761,2.7186787,729000.6,1370.1672
1.65E+12,RSE-12-C,242.44789,25.485512,24.3125,1001.1805,2.6937928,729789.6,1364.0839
1.65E+12,RSE-12-C,242.64389,25.428066,24.320114,1001.1951,2.6948292,729789.6,1364.3384
1.65E+12,RSE-12-C,241.20546,25.449026,24.320114,1001.2598,2.6619961,732166.75,1356.229
1.65E+12,RSE-12-C,242.25616,25.387186,24.3328,1001.2165,2.6806831,731372.7,1360.8567
1.65E+12,RSE-12-C,243.84343,25.38923,24.3328,1001.21295,2.7106829,729789.6,1368.2188
